Movie_name,Actors,Crtitic_ratings,Release date & duration,User_ratings,Language,Movie_type
Khamoshi,"Tamannaah Bhatia, Prabhudeva, Bhumika Chawla, Sanjay Suri, Murli Sharma",2,14 Jun 2019 | 1 hr 26 mins,2.5,Hindi,"Horror, Thriller | UA"
Asli Fighter,"Sundeep Kishan, Nithya Menen, Rahul Dev, Ravi Kishan, Revathi",3.3,10 Jun 2019 | 2 hrs 25 mins,,Hindi,Drama | U
Bharat,"Salman Khan, Katrina Kaif, Disha Patani, Sunil Grover, Tabu, Jackie Shroff, Sonali Kulkarni, Nora Fatehi",3.5,05 Jun 2019 | 2 hrs 35 mins,3.3,Hindi,"Action, Drama | UA"
Nakkash,"Innamulhaq, Sharib Hashmi, Rajesh Sharma, Pawan Tiwari, Anil Rastogi",3,31 May 2019 | 1 hr 44 mins,3,Hindi,Drama | UA
Shuruaat Ka Twist,"Chunky Pandey, Neena Gupta, Lalit Behl, Rahul Bagga, Trimala Adhikari",3.5,31 May 2019 | 2 hrs 20 mins,3.1,Hindi,Drama | A
Deva Ek Rakshak,"Meena, Raghuvaran, Posani Krishna Murali, Suman, Srihari",2.9,31 May 2019 | 1 hr 55 mins,,Hindi,No Information
Naughty Gang,"Mukesh Tiwari, Rashmi Mishra, Viren Bika, Kaif Khan, Monika Ravan, Ramanjeet Singh, Vividha Kirti, Soniya Bansal",1.5,31 May 2019 | 2 hrs 34 mins,2,Hindi,Drama | UA
Yeh Hai India,"Antara Banerjee, Mohan Agashe, Mohan Joshi, Surendra Pal, Gavie Chahal, Deana Uppal",1.5,24 May 2019 | 2 hrs 8 mins,2.2,Hindi,"Drama, Adventure, Action | UA"
PM Narendra Modi,"Vivek Oberoi, Boman Irani, Darshan Kumaar, Zarina Wahab, Manoj Joshi, Prashant Narayanan, Barkha Bisht Sengupta, Rajendra Gupta, Yatin Karyekar",2.5,24 May 2019 | 2 hrs 11 mins,2.6,"Hindi, Tamil, Telugu","Drama, Biography | U"
India's Most Wanted,"Arjun Kapoor, Rajesh Sharma, Prashanth Alexander",3.5,24 May 2019 | 2 hrs 3 mins,3.3,Hindi,"Action, Thriller | UA"
On The Ramp Never Ending Show,"Ranvir Shorey, Saidah Jules, Supriya Karnik",2,24 May 2019 | 1 hr 34 mins,2.4,Hindi,Drama | UA
Chaturnath,"Omkar Das Manikpuri, Nira Suraez, Arvind Agarwal",2.7,24 May 2019 | 1 hr 57 mins,,Hindi,"Comedy,Drama | UA"
Kadke Kamal Ke,"Neeta Dhungana, Daya Shankar Pandey, Rajpal Yadav, Vijay Patkar, Usha Nadkarni, Rana Jung Bahadur",3.1,24 May 2019 | 2 hrs 33 mins,,Hindi,"Comedy,Drama | UA"
Savdhan : Ek Adbhut Kahaani,"Hemant Birje, Ritu Pandey, Ramesh Goyal",3.6,17 May 2019 | 1 hr 47 mins,,Hindi,"Horror,Thriller | UA"
Gunwali Dulhaniya,"Kanchan Awasthi, Mayur Kumar, Govind Namdeo, Brijendra Kala, Shravani Goswami, Gajendra Chauhaan",3.4,17 May 2019 | 1 hr 30 mins,,Hindi,Drama | UA
Chorriyan Chhoron Se Kam Nahi Hoti,"Satish Kaushik, Rashmi Singh Somvanshi, Annirudh Dave",3.3,17 May 2019 | 1 hr 54 mins,,Hindi,Drama | U
De De Pyaar De,"Ajay Devgn, Tabu, Rakul Preet Singh, Alok Nath, Jaaved Jaaferi, Jimmy Sheirgill",3.5,16 May 2019 | 2 hrs 15 mins,3.4,Hindi,"Drama, Comedy | UA"
Student Of The Year 2,"Tiger Shroff, Ananya Panday, Samir Soni, Tara Sutaria, Rajesh Kumar, Aditya Seal",3,10 May 2019 | 2 hrs 26 mins,3,Hindi,"Drama, Romance, Sport | UA"
Never Give Up,"Sarish Kanungo, Piyush Ghadse, Arry Dabbas",3.5,10 May 2019 | 2 hrs 16 mins,,Hindi,"Romantic,Thriller | UA"
Grihalakshmi: The Awakening,Shri Mataji Nirmala Devi,3.4,10 May 2019 | 1 hr 13 mins,,Hindi,Drama | U
Inspector Vijay,"Kajal Aggarwal, Bellamkonda Sreenivas, Harish Uthaman, Harshvardhan Rane, Neil Nitin Mukesh, Mukesh Rishi, Posani Krishna Murali",3.6,10 May 2019 | 2 hrs 9 mins,,Hindi,"Action,Drama,Romantic | UA"
Chhal Kiya Kisne,"Prince Siddiqui, Tamanna Chavan",3.1,10 May 2019 | 2 hrs 10 mins,,Hindi,"Romantic,Thriller | A"
Chhota Bheem Kung Fu Dhamaka,,3,10 May 2019 | 1 hr 53 mins,3.3,"Hindi, English","Animation, Action, Adventure | U"
3rd Eye,"Rushad Rana, Raj Zutshi, Mukul Dev, Riya Shukla, Pooja Kaseka",2.8,03 May 2019 | 2 hrs 22 mins,,,"Drama,Thriller | A"
Setters,"Aftab Shivdasani, Shreyas Talpade, Sonnalli Seygall, Ishita Dutta, Pavan Malhotra, Vijay Raaz, Jameel Khan",2.5,03 May 2019 | 2 hrs 6 mins,2.8,Hindi,"Drama, Thriller, Crime | U"
Blank,"Sunny Deol, Karan Kapadia, Ishita Dutta, Rashika Pradhan, JameelKhan",2.5,03 May 2019 | 1 hr 51 mins,2.9,Hindi,"Action, Thriller | UA"
1978 A Teen Night Out,"Gaurav Sharma, Abuzar Akhtar, Muskaan Tomar, Rishabh Raj, Vaishnavi Kadam",1.5,03 May 2019 | 1 hr 47 mins,2.1,Hindi,"Horror, Thriller | A"
Hansa Ek Sanyog,"Akhilendra Mishra, Sayaji Shinde, Deepshikha Nagpal, Aman Verma, Sharat Saxena, Scarlett Wilson",2,03 May 2019 | 2 hrs 14 mins,2.3,Hindi,Drama | UA
Tarpan,"Arun Shekhar, Rahul Chahan, Nilam Kumari, Nand Kishore Pant",1,26 Apr 2019 | 2 hrs 5 mins,1.7,"Hindi, English",Drama | UA
Kalank,"Alia Bhatt, Madhuri Dixit, Varun Dhawan, Aditya Roy Kapur, Sonakshi Sinha, Sanjay Dutt, Hiten Tejwani, Kriti Sanon, Kunal Khemu",3,17 Apr 2019 | 2 hrs 48 mins,3,Hindi,"Drama, Period, Romance | UA"
Maa Purnagiri,"Gajendra Chauhaan, Ali Khan",3.5,12 Apr 2019 | 2 hrs 8 mins,,Hindi,No Information
Blackboard Vs Whiteboard,"Dharmendra Singh, Raghubir Yadav, Akhilendra Mishra, Ashok Samarth",1.5,12 Apr 2019 | 2 hrs 14 mins,2.1,Hindi,Drama | U
Betiyon Ki Balle Balle,"Jeet Upendra, Firoz Irani, Hemant Jha, Sharad Vyas, Dhavan Mewada",3.2,12 Apr 2019 | 2 hrs 17 mins,,Hindi,Drama | UA
Albert Pinto Ko Gussa Kyon Ata Hai,"Manav Kaul, Nandita Das, Saurabh Shukla, Atul Kale, Kishore Kadam",3,12 Apr 2019 | 1 hr 34 mins,3.1,Hindi,Drama | A
The Tashkent Files,"Naseeruddin Shah, Mithun Chakraborty, Shweta Basu Prasad, Pankaj Tripathi, Vinay Pathak, Mandira Bedi, Pallavi Joshi, Prakash Belawadi, Ankur Rathee",2.5,12 Apr 2019 | 2 hrs 24 mins,2.9,Hindi,"Drama, Mystery, Thriller | UA"
Gun Pe Done,"Jimmy Sheirgill, Tara Alisha Berry, Bidita Bag, Vijay Raaz, Sanjay Mishra, Vrajesh Hirjee, Anant Jog, Deepraj Rana",3.3,12 Apr 2019 | 1 hr 56 mins,,Hindi,"Comedy,Crime,Romantic | UA"
Paharganj,"Brijesh Jayarajan, Lorena Franco, Rajeev Gaursingh, Karan Soni, Rajesh Sharma, Gautam Kurup",1.5,12 Apr 2019 | 1 hr 48 mins,2.1,Hindi,"Drama, Thriller, Mystery | A"
Ek Hakikat Ganga,"Rachna Suyal, Raza Murad, Pramod Moutho, Ritesh Bora, Ali Khan",3.4,12 Apr 2019 | 1 hr 30 mins,,Hindi,Drama | UA
Chousar Firangi,"Anshul Thakur, Rekha Mishra, Pratiek Pachori, Amol Deshmukh",3.5,05 Apr 2019 | 1 hr 42 mins,,Hindi,Drama | UA
Romeo Akbar Walter,"John Abraham, Mouni Roy, Jackie Shroff, Sikander Kher",3,05 Apr 2019 | 1 hr 52 mins,3.4,Hindi,"Thriller, Action | UA"
Jai Chhathi Maa,"Ravi Kishan, Gurleen Chopra, Preeti Jhangiani",3.5,05 Apr 2019 | 2 hrs 21 mins,,Hindi,"Drama,Fantasy | U"
Railway Raju,"Dharmesh Singh Bharadwaj, Nisha Das",1.5,29 Mar 2019 | 2 hrs 5 mins,2,Hindi,"Crime, Thriller | UA"
Gone Kesh,"Shweta Tripathi, Vipin Sharma, Deepika Amin, Jitendra Kumar Biswal",3.5,29 Mar 2019 | 1 hr 50 mins,3.2,Hindi,"Drama, Comedy | U"
Notebook,"Zaheer Iqbal, Pranutan Bahl",3,29 Mar 2019 | 1 hr 55 mins,3.1,Hindi,"Drama, Romance | U"
Junglee,"Vidyut Jammwal, Pooja Sawant, Asha Bhat, Atul Kulkarni, Makarand Deshpande, Akshay Oberoi",3,29 Mar 2019 | 1 hr 55 mins,3.3,Hindi,"Adventure, Action, Family | UA"
Ram Ki Janmabhoomi,"Govind Namdeo, Manoj Joshi, Rajveer Singh",3.5,29 Mar 2019 | 2 hrs 2 mins,,Hindi,Drama | UA
Tennis Buddies,"Divya Dutta, Ranvir Shorey, Dakshita Patel, Bikramjeet Kanwarpal",2,29 Mar 2019 | 2 hrs 33 mins,2.5,Hindi,Drama | UA
Challenge,"Gautham Karthik, Shraddha Srinath, RJ Balaji",3.2,22 Mar 2019 | 2 hrs 2 mins,,Hindi,"Action,Romantic | U"
Kesari,"Akshay Kumar, Parineeti Chopra, Edward Sonnenblick, Mark Bennington, Pavan Malhotra, Ashwath Bhatt, Rana Ranbir, Mir Sarwar",4,21 Mar 2019 | 2 hrs 30 mins,4.5,Hindi,"Drama, History, War | UA"
Mard Ko Dard Nahi Hota,"Abhimanyu Dasani, Radhika Madan, Gulshan Devaiah, Mahesh Manjrekar, Jimit Trivedi",3.5,21 Mar 2019 | 2 hrs 14 mins,3.2,Hindi,"Comedy, Drama, Action | UA"
The Pushkar Lodge,"Sachin Choudhary, Preeti Jhangiani, Pradeep Kabra, Gulshan Pandey, Inder Kumar, Abhishek Mahendru",3.8,15 Mar 2019 | 1 hr 55 mins,,Hindi,No Information
Bindi,"Bharath, Iniya, Srushti Dange, Urvashi, Sayaji Shinde, Rajendran",3.7,15 Mar 2019 | 2 hrs 0 mins,,Hindi,"Horror,Thriller | UA"
Photograph,"Nawazuddin Siddiqui, Sanya Malhotra, Denzil Smith",3,15 Mar 2019 | 1 hr 50 mins,3.1,Hindi,"Drama, Romance | UA"
Mere Pyare Prime Minister,"Anjali Patil, Makrand Deshpande, Sonia Albizuri, Nachiket Purnapatre, Rasika Agashe, Niteesh Wadhwa",3,15 Mar 2019 | 1 hr 44 mins,3,Hindi,"Drama, Comedy | UA"
Milan Talkies,"Ali Fazal, Shraddha Srinath, Sanjay Mishra, Ashutosh Rana, Yashpal Sharma, Sikander Kher, Pankaj Tripathi, Reecha Sinha",2.5,15 Mar 2019 | 2 hrs 10 mins,2.6,Hindi,Drama | UA
Sharmaji Ki Lag Gai,"Krishna Abhishek, Brijendra Kala, Mugdha Godse",2.5,15 Mar 2019 | 2 hrs 25 mins,2.6,Hindi,Drama | UA
22 Yards,"Amartya Ray, Barun Sobti, Rajit Kapoor, Panchi Bora, Chaiti Ghoshal, Rajesh Sharma, Geetika Tyagi",1.5,15 Mar 2019 | 2 hrs 20 mins,2.2,Hindi,"Sport, Drama | U"
Hamid,"Talha Arshad Reshi, Rasika Dugal, Sumit Kaul, Mir Sarwar",4,15 Mar 2019 | 1 hr 55 mins,3.7,"Hindi, Urdu",Drama | UA
Risknamaa,"Shahbaz Khan, Pramod Moutho, Sachin Gurjar, Garima Agarwal, Anupama Prakash, Khyati Sharma",3,15 Mar 2019 | 2 hrs 33 mins,,Hindi,"Action,Drama,Romantic | A"
Just Love: The God Particle,"Smriti Singh, Paritosh Singh Baghe",3.5,15 Mar 2019 | 2 hrs 10 mins,,Hindi,No Information
Lul Bate Lul,"Happy Singh, Akshit Rajput, Khalid Khan",2.8,15 Mar 2019 | 2 hrs 33 mins,,Hindi,Drama | UA
Is She Raju?,"Ansh Gupta, Saurabh Sharma, Aditi Bhagat",2,08 Mar 2019 | 2 hrs 5 mins,2.4,Hindi,"Drama, Comedy | UA"
Yeh Suhaagraat Impossible,"Pratap Saurabh Singh, Preetyka Chauhan, Aarav Mavi, Pradeep Sharmaa",2.8,08 Mar 2019 | 1 hr 32 mins,,Hindi,Drama | A
Suspense,"Vikram Mastal, Antra Banarjee, Madhumita Bishwas",3.7,08 Mar 2019 | 1 hr 50 mins,,Hindi,"Suspence,Thriller | A"
Phir Ussi Mod Par,"Parmeet Sethi, Kanwaljit Singh, Smita Jaykar, Govind Namdev, Jividha Sharma, Vineeta Malik",2,08 Mar 2019 | 2 hrs 33 mins,2.5,Hindi,Drama | UA
Badla,"Amitabh Bachchan, Taapsee Pannu, Amrita Singh, Manav Kaul",3.5,08 Mar 2019 | 2 hrs 0 mins,3.6,Hindi,"Crime, Thriller | UA"
God Of Gods,"Shiva, Triyug Mantri, Tejaswini Manogna, Babbu, Rajsingh Verma, John",4.7,02 Mar 2019 | 1 hr 30 mins,,Hindi,Drama | UA
Sonchiriya,"Bhumi Pednekar, Sushant Singh Rajput, Manoj Bajpayee, Ashutosh Rana, Ranvir Shorey",3.5,01 Mar 2019 | 1 hr 48 mins,3.2,Hindi,"Drama, Action, Crime | A"
GGBB: Goopi Gawaiya Bagha Bajaiya,"Rajeev Raj, Manish Bhawan, Shahanawaz Pradhan, Vishal Kumar, Shailendra Pandey",3.5,01 Mar 2019 | 1 hr 18 mins,3.2,Hindi,"Animation, Comedy, Drama | U"
Luka Chuppi,"Kartik Aaryan, Kriti Sanon, Aparshakti Khurana, Pankaj Tripathi, Vinay Pathak",3.5,01 Mar 2019 | 2 hrs 6 mins,3.4,Hindi,"Romance, Comedy | UA"
Total Dhamaal,"Ajay Devgn, Anil Kapoor, Madhuri Dixit, Riteish Deshmukh, Arshad Warsi, Jaaved Jaaferi, Sanjay Mishra, Johnny Lever, Mahesh Manjrekar, Boman Irani, Aashish Chaudhary, Ashwin Mushran, Rajpal Yadav, Pitobash Tripathy, Vijay Patkar",2,22 Feb 2019 | 2 hrs 10 mins,2.3,Hindi,Comedy | U
Number Game,"Aishwarya Rajesh, Nakul Choudharry",4,15 Feb 2019 | 1 hr 57 mins,,Hindi,No Information
Shudra A Love Story,Nabinoor Mansury,3.5,15 Feb 2019 | 2 hrs 2 mins,,Hindi,"Action,Drama,Romantic | A"
Operation Cobra,"Gautam Gulati, Ruhi Singh",4.1,15 Feb 2019 | 2 hrs 2 mins,,Hindi,"Action,Thriller | UA"
Hum Chaar,"Prit Kamani, Anshuman Malhotra, Tushar Pandey, Simran Sharma",2.5,15 Feb 2019 | 2 hrs 23 mins,2.8,Hindi,Drama | UA
Facebook Wala Pyar,"Rahul Bagga, Nancy Thakkar, Akhilendra Mishra",1.5,14 Feb 2019 | 2 hrs 15 mins,2.1,Hindi,"Romance, Drama | UA"
Gully Boy,"Ranveer Singh, Alia Bhatt, Kalki Koechlin, Parmeet Sethi, Pooja Gaur, Ananya Panday, Vijay Raaz",4,14 Feb 2019 | 2 hrs 36 mins,4.3,Hindi,"Drama, Biography, Musical | UA"
Khandala Night,Indranee Talukder,3.6,08 Feb 2019 | 1 hr 47 mins,,Hindi,"Horror,Thriller | UA"
The Fakir Of Venice,"Farhan Akhtar, Annu Kapoor, Kamal Sidhu, Mathieu Carriere, Valentina Carnelutti, Maitrey Bajpai",2.5,08 Feb 2019 | 1 hr 52 mins,2.6,Hindi,"Comedy, Drama | A"
Amavas,"Sachiin Joshi, Vivan Bhatena, Nargis Fakhri, Mona Singh, Navneet Kaur Dhillon, Ali Asgar",1.5,08 Feb 2019 | 2 hrs 10 mins,2.1,"Hindi, Telugu","Horror, Drama, Suspense, Thriller | A"
End Counter,"Abhimanyu Singh, Vrajesh Hirjee, Prashant Narayanan, Uday Tikekar, Anupam Shyam, Mrinmai Kolwalkar, Ehsaan Qureshi",1.5,08 Feb 2019 | 2 hrs 18 mins,2.1,Hindi,"Drama, Crime, Thriller | UA"
Naya Satya,"Bharath Seeni, Subiksha, Gautham Vasudev Menon, Krisha Kurup",,08 Feb 2019 | 2 hrs 2 mins,,Hindi,Drama | UA
Jhol,"Raashul Tandon, Manisha Ram Kelkar, Chetan Hansraj, Vik Khanna, Alisha Farrer",2.2,08 Feb 2019 | 1 hr 52 mins,,Hindi,"Comedy,Thriller | A"
Parking Closed,"Sanjana Sen, Deana Uppal, Akbar Khan, Mohit Gaur",4.2,08 Feb 2019 | 1 hr 52 mins,,Hindi,"Drama,Thriller | A"
Dosti Ke Side Effectss,"Zuber K. Khan, Sapna Choudhary, Vikrant Anand, Anju Jadhav",4.6,08 Feb 2019 | 2 hrs 32 mins,,Hindi,"Comedy,Romantic | UA"
SP Chauhan: A Struggling Man,"Jimmy Sheirgill, Yuvika Chaudhary, Yashpal Sharma, Vijay Kumar Dogra",3.5,07 Feb 2019 | 2 hrs 16 mins,,Hindi,Thriller | UA
Umakant Pandey Purush Ya ... ?,"Shivangi Singh, Ajeet Singh, Shrikant Karanjgaonkar, Gurpech Singh Samagh, Neha, Pramod Rathod",4.8,01 Feb 2019 | 1 hr 40 mins,,Hindi,Drama | UA
Ek Ladki Ko Dekha Toh Aisa Laga,"Anil Kapoor, Sonam Kapoor, Rajkummar Rao, Juhi Chawla, Madhumalti Kapoor, Regina Cassandra, Abdul Quadir Amin, Brijendra Kala, Seema Pahwa, Abhishek Duhan",3.5,01 Feb 2019 | 2 hrs 1 mins,3.3,Hindi,"Drama, Comedy, Romance | UA"
Picture Ki Cheerphad `Papi Gudia',Gaurav Kapoor,2.1,01 Feb 2019 | 1 hr 13 mins,,Hindi,Comedy | UA
Mansukh Chaturvedi Ki Atmakatha,"Sandeep Singh, Anamika Shukla, Subrato, Monika",1,26 Jan 2019 | 1 hr 30 mins,1.7,Hindi,Drama | U
Jaipur Junction,"Aanand Gangwar, Sikander Abbas, Aslam Qureshi, Kailash Soni",3.2,25 Jan 2019 | 2 hrs 15 mins,,Hindi,Drama | UA
Manikarnika: The Queen Of Jhansi,"Kangana Ranaut, Atul Kulkarni, Jisshu Sengupta, Suresh Oberoi, Danny Denzongpa, Kulbhushan Kharbanda, Mohammed Zeeshan Ayyub, Ankita Lokhande, Taher Shabbir, Manish Wadhwa, Yash Tonk, Mishti Chakravarty, Unnati Davara",3.5,25 Jan 2019 | 2 hrs 28 mins,3.6,"Hindi, Tamil, Telugu","Drama, Biography, History, Action | UA"
Thackeray,"Nawazuddin Siddiqui, Amrita Rao",3,25 Jan 2019 | 2 hrs 19 mins,3.1,"Hindi, Marathi","Drama, Biography | UA"
72 Hours: Martyr Who Never Died,"Avinash Dhyani, Alka Amin, Virendra Saxena, Shishir Sharma, Sumit Gulati, Mukesh Tiwari, Gireesh Kr. Sahdev, Prashil Rawat",2,18 Jan 2019 | 2 hrs 10 mins,2.6,Hindi,"Drama, Biography, War | UA"
Bombairiya,"Radhika Apte, Akshay Oberoi, Ravi Kishan, Shilpa Shukla, Akshat Verma, Siddhanth Kapoor, Adil Hussain, Ajinkya Deo",2,18 Jan 2019 | 1 hr 49 mins,2.5,Hindi,"Comedy, Crime, Mystery | UA"
Chhappan Bhai,"Noushad, Azitabh",3.9,18 Jan 2019 | 2 hrs 14 mins,,Hindi,"Comedy,Drama | UA"
Fraud Saiyaan,"Arshad Warsi, Saurabh Shukla, Sara Loren, Kanchan Awasthi, Elli Avram, Flora Saini, Peeyush Suhaney, Varun Badola, Mihika Verma, Anangsha Biswas",1,18 Jan 2019 | 2 hrs 12 mins,1.8,Hindi,Comedy | UA
Rangeela Raja,"Govinda, Shakti Kapoor, Digangana Suryavanshi, Govind Namdeo, Mahesh Anand, Mishika Chourasia",1,18 Jan 2019 | 2 hrs 42 mins,1.6,Hindi,"Drama, Comedy | UA"
Woh Jo Tha Ek Massiah Maulana Azad,"Linesh Fanse, Sirali Gupta, Marmik Gupta, Deepak Acharya, Chand Ansari, Arati Gupte, Sudhir Joglekar",2.5,18 Jan 2019 | 2 hrs 10 mins,2.7,Hindi,"Drama, Biopic | UA"
Little Boy,"Shishir Sharma, Yajuvendra Singh, Rashmi Mishra",4.4,18 Jan 2019 | 2 hrs 17 mins,,Hindi,"Drama,Action | U"
The Lift Boy,"Moin Khan, Saagar Kale, Nyla Masood",3.5,18 Jan 2019 | 2 hrs 33 mins,,Hindi,Drama | UA
Why Cheat India,"Emraan Hashmi, Shreya Dhanwanthary, Ammar Taalwala",3,18 Jan 2019 | 2 hrs 1 mins,3.1,Hindi,Drama | UA
Pagal Kar Diya Toone,"Mugdha Godse, Disha Sachdeva, Deepak Antani, Johny Nirmal",3.3,11 Jan 2019 | 2 hrs 20 mins,,Hindi,"Drama,Romantic | A"
Evening Shadows,"Ananth Narayan Mahadevan, Mona Ambegaonkar, Veena Nair, Arpit Chaudhary, Abhay Kulkarni",2.5,11 Jan 2019 | 1 hr 42 mins,2.5,Hindi,Drama | UA
706,"Atul Kulkarni, Divya Dutta, Mohan Agashe",1,11 Jan 2019 | 2 hrs 12 mins,1.8,Hindi,"Thriller, Mystery | A"
Falsafa: The Other Side,"Manit Joura, Sumit Gulati, Ridhima Grover, Geetanjali Singh",3.9,11 Jan 2019 | 2 hrs 15 mins,,Hindi,"Action,Drama,Thriller | UA"
A Thin Line,"Rahul Roy, Akansha Shivhare, Trivikram Mattoo",4.3,11 Jan 2019 | 1 hr 47 mins,,Hindi,"Drama,Thriller | UA"
Battalion 609,"Elena Kazan, Vicky Ahuja, Shoaib Ibrahim, Sparsh Sharma, Jashan Kohli, Vishwas Kini, Farnaz Shetty",1,11 Jan 2019 | 2 hrs 21 mins,1.7,Hindi,"Drama, Action, War | UA"
The Accidental Prime Minister,"Anupam Kher, Akshaye Khanna, Suzanne Bernert, Arjun Mathur, Aahana Kumra, Avtar Sahni, Vimal Verma, Anil Rastogi, Mike Gassaway, Atul Sharma, Manoj Anand, Divya Seth",3.5,11 Jan 2019 | 1 hr 52 mins,3.6,"Hindi, Tamil, Telugu","Drama, Biography | U"
URI: The Surgical Strike,"Vicky Kaushal, Yami Gautam, Kirti Kulhari, Vikramjeet Virk, Paresh Rawal, Manish Chaudhary, Anil George, Swaroop Sampat",4,11 Jan 2019 | 2 hrs 18 mins,4.7,Hindi,"Drama, Action, War | UA"
Salt Bridge,"Rajeev Khandelwal, Usha Jadhav, Chelsie Preston Crayford",3,04 Jan 2019 | 1 hr 46 mins,2.9,Hindi,Drama | U
Dharma Bhai,"Sai Dharam Tej, Lavanya Tripathi, Ashish Vidyarthi, Sayaji Shinde, Rahul Dev",4.3,04 Jan 2019 | 2 hrs 19 mins,,Hindi,Action | UA
Kanpur Ke Sholay,"Ajay Tripathi, Gulfam Khan, Alam Siddiqui",2.8,04 Jan 2019 | 2 hrs 5 mins,,Hindi,"Drama,Action | A"
English Ki Taay Taay Fisss,"Rajpal Yadav, Sunil Pal, Manoj Joshi, Viju Khote, Govind Namdev, Mushtaq Khan",3.7,03 Jan 2019 | 2 hrs 10 mins,,Hindi,"Romance,Comedy | UA"
